Tidsmerke,E-postadresse,Navn og etternavn,Kommentar,1. nov - fredag,4. nov - mandag,5. nov - tirsdag,6. nov - onsdag,7. nov - torsdag,Morgenvakt 6. nov,Morgenvakt 13. nov,Morgenvakt 20. nov,9. nov - lørdag,10. nov - søndag,11. nov - mandag,12. nov - tirsdag,13. nov - onsdag,14. nov - torsdag,15. nov - fredag,16. nov - lørdag,17. nov - søndag
22.10.2024 kl. 15:31.42,jordan.jackson1@mockemail.com,Jordan Jackson,,12:30-17:00,12:30-17:00,12:30-17:00,20:20-00:30,20:20-00:30,Ja,Ja,Ja,20:20-00:30,16:50-20:30,16:50-20:30,Kan ikke jobbe denne dagen :(,Kan ikke jobbe denne dagen :(,16:50-20:30,Kan ikke jobbe denne dagen :(,Kan ikke jobbe denne dagen :(,20:20-00:30
22.10.2024 kl. 16:18.30,taylor.martin2@mockemail.com,Taylor Martin,Kan jobbe alle dager,20:20-00:30,12:30-17:00,12:30-17:00,Kan ikke jobbe denne dagen :(,12:30-17:00,Ja,Ja,Nei,Kan ikke jobbe denne dagen :(,20:20-00:30,20:20-00:30,20:20-00:30,Kan ikke jobbe denne dagen :(,16:50-20:30,Kan ikke jobbe denne dagen :(,20:20-00:30,20:20-00:30
22.10.2024 kl. 21:24.43,skyler.brown3@mockemail.com,Skyler Brown,Mandag er bra,12:30-17:00,20:20-00:30,16:50-20:30,Kan ikke jobbe denne dagen :(,Kan ikke jobbe denne dagen :(,Nei,Ja,Nei,Kan ikke jobbe denne dagen :(,12:30-17:00,16:50-20:30,16:50-20:30,20:20-00:30,Kan ikke jobbe denne dagen :(,12:30-17:00,12:30-17:00,20:20-00:30
22.10.2024 kl. 19:08.10,casey.brown4@mockemail.com,Casey Brown,Ingen preferanse,12:30-17:00,12:30-17:00,Kan ikke jobbe denne dagen :(,12:30-17:00,16:50-20:30,Ja,Nei,Ja,16:50-20:30,16:50-20:30,20:20-00:30,12:30-17:00,12:30-17:00,16:50-20:30,Kan ikke jobbe denne dagen :(,20:20-00:30,16:50-20:30
22.10.2024 kl. 12:09.25,taylor.harris5@mockemail.com,Taylor Harris,Kan jobbe alle dager,Kan ikke jobbe denne dagen :(,Kan ikke jobbe denne dagen :(,16:50-20:30,20:20-00:30,16:50-20:30,Nei,Ja,Ja,Kan ikke jobbe denne dagen :(,16:50-20:30,12:30-17:00,16:50-20:30,12:30-17:00,20:20-00:30,20:20-00:30,Kan ikke jobbe denne dagen :(,20:20-00:30
22.10.2024 kl. 14:54.47,cameron.anderson6@mockemail.com,Cameron Anderson,,12:30-17:00,12:30-17:00,20:20-00:30,12:30-17:00,16:50-20:30,Ja,Ja,Ja,Kan ikke jobbe denne dagen :(,16:50-20:30,12:30-17:00,16:50-20:30,16:50-20:30,20:20-00:30,12:30-17:00,20:20-00:30,20:20-00:30
22.10.2024 kl. 13:32.08,jamie.brown7@mockemail.com,Jamie Brown,,12:30-17:00,16:50-20:30,20:20-00:30,16:50-20:30,16:50-20:30,Nei,Ja,Ja,20:20-00:30,Kan ikke jobbe denne dagen :(,16:50-20:30,20:20-00:30,16:50-20:30,16:50-20:30,12:30-17:00,Kan ikke jobbe denne dagen :(,Kan ikke jobbe denne dagen :(
22.10.2024 kl. 18:10.44,drew.jackson8@mockemail.com,Drew Jackson,,12:30-17:00,12:30-17:00,20:20-00:30,Kan ikke jobbe denne dagen :(,12:30-17:00,Ja,Nei,Ja,20:20-00:30,16:50-20:30,16:50-20:30,12:30-17:00,20:20-00:30,Kan ikke jobbe denne dagen :(,16:50-20:30,20:20-00:30,12:30-17:00
22.10.2024 kl. 19:40.41,jordan.brown9@mockemail.com,Jordan Brown,Kan jobbe alle dager,Kan ikke jobbe denne dagen :(,16:50-20:30,20:20-00:30,20:20-00:30,12:30-17:00,Nei,Nei,Nei,16:50-20:30,16:50-20:30,16:50-20:30,Kan ikke jobbe denne dagen :(,20:20-00:30,12:30-17:00,20:20-00:30,20:20-00:30,Kan ikke jobbe denne dagen :(
22.10.2024 kl. 19:25.26,alex.martin10@mockemail.com,Alex Martin,Ingen preferanse,16:50-20:30,16:50-20:30,16:50-20:30,Kan ikke jobbe denne dagen :(,20:20-00:30,Nei,Nei,Ja,12:30-17:00,20:20-00:30,Kan ikke jobbe denne dagen :(,16:50-20:30,Kan ikke jobbe denne dagen :(,Kan ikke jobbe denne dagen :(,20:20-00:30,Kan ikke jobbe denne dagen :(,20:20-00:30
22.10.2024 kl. 8:59.42,taylor.martin11@mockemail.com,Taylor Martin,Ingen preferanse,Kan ikke jobbe denne dagen :(,16:50-20:30,20:20-00:30,Kan ikke jobbe denne dagen :(,12:30-17:00,Nei,Ja,Ja,Kan ikke jobbe denne dagen :(,20:20-00:30,20:20-00:30,20:20-00:30,16:50-20:30,Kan ikke jobbe denne dagen :(,16:50-20:30,Kan ikke jobbe denne dagen :(,20:20-00:30
22.10.2024 kl. 9:28.17,jordan.thomas12@mockemail.com,Jordan Thomas,Ingen preferanse,12:30-17:00,20:20-00:30,Kan ikke jobbe denne dagen :(,Kan ikke jobbe denne dagen :(,16:50-20:30,Nei,Ja,Ja,Kan ikke jobbe denne dagen :(,Kan ikke jobbe denne dagen :(,12:30-17:00,12:30-17:00,12:30-17:00,20:20-00:30,16:50-20:30,Kan ikke jobbe denne dagen :(,Kan ikke jobbe denne dagen :(
22.10.2024 kl. 15:32.17,cameron.smith13@mockemail.com,Cameron Smith,,16:50-20:30,20:20-00:30,16:50-20:30,12:30-17:00,20:20-00:30,Nei,Ja,Nei,Kan ikke jobbe denne dagen :(,12:30-17:00,20:20-00:30,20:20-00:30,12:30-17:00,16:50-20:30,Kan ikke jobbe denne dagen :(,16:50-20:30,16:50-20:30
22.10.2024 kl. 12:39.55,cameron.anderson14@mockemail.com,Cameron Anderson,Ingen preferanse,20:20-00:30,20:20-00:30,16:50-20:30,16:50-20:30,20:20-00:30,Ja,Ja,Nei,Kan ikke jobbe denne dagen :(,20:20-00:30,20:20-00:30,20:20-00:30,12:30-17:00,16:50-20:30,20:20-00:30,Kan ikke jobbe denne dagen :(,12:30-17:00
22.10.2024 kl. 23:27.50,jamie.smith15@mockemail.com,Jamie Smith,,Kan ikke jobbe denne dagen :(,20:20-00:30,12:30-17:00,16:50-20:30,20:20-00:30,Nei,Nei,Nei,Kan ikke jobbe denne dagen :(,Kan ikke jobbe denne dagen :(,20:20-00:30,20:20-00:30,Kan ikke jobbe denne dagen :(,16:50-20:30,12:30-17:00,20:20-00:30,12:30-17:00
22.10.2024 kl. 17:18.35,jordan.martin16@mockemail.com,Jordan Martin,Kan jobbe alle dager,Kan ikke jobbe denne dagen :(,20:20-00:30,Kan ikke jobbe denne dagen :(,16:50-20:30,12:30-17:00,Ja,Ja,Nei,20:20-00:30,20:20-00:30,20:20-00:30,Kan ikke jobbe denne dagen :(,20:20-00:30,16:50-20:30,12:30-17:00,12:30-17:00,Kan ikke jobbe denne dagen :(
